player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Demetrius Flannigan-Fowles,49231,LB,SF,7,0,28,0,0,0,0,0,0,28.6,2,0,0,0,0,0,0,12.5,8,64,0,0,0,0,0,0,71.4,5,0,0,0,0,0,0,0,0
Kristian Fulton,42894,CB,LAC,16,0,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.2,1,463,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
Quintin Morris,61182,TE,BUF,1,0,4,0,0,0,0,0,0,,0,0,,0,0,0,0,100,1,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Noah Igbinoghene,61155,CB,WAS,20,0,32,0,0,0,0,0,0,77.8,7,0,0,0,0,1,0,1.6,9,556,0,0,0,0,0,0,22.2,2,0,0,0,0,0,0,0,1
Casey Rogers,82347,DI,NYG,2,0,21,0,0,0,0,0,0,25,4,0,0,0,0,0,0,100,16,16,0,0,0,0,0,0,75,12,0,0,0,0,0,0,0,0
Byron Murphy Jr.,44027,CB,MIN,18,0,18,0,0,0,0,0,0,80,4,0,0,0,0,0,0,0.7,5,694,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0
Quinton Bohanna,56673,DI,SEA,1,0,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,100,1,1,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
Branson Deen,82372,DI,BUF,1,0,4,0,0,0,0,0,0,20,1,0,0,0,0,0,0,100,5,5,0,0,0,0,0,0,80,4,0,0,0,0,0,0,0,0
Mike Greene,56664,DI,TB,3,0,30,0,0,0,0,0,0,29,9,0,0,0,0,0,0,100,31,31,0,0,0,0,0,0,71,22,0,0,0,0,0,0,0,0
Levi Drake Rodriguez,165670,DI,MIN,1,0,18,0,0,0,0,0,0,100,2,0,0,0,0,0,0,100,2,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
